indice;maior_atraso ;margem_bruta_acumulada;prazo_medio_recebimento_vendas;titulos_em_aberto;diferenca_percentual_risco;percentualRisco;faturamento_bruto;margem_bruta;periodo_demonstrativo_em_meses;custos;ano_fundacao;capital_social;score_pontualidade;risco_baixo;risco_medio;risco_muito_baixo;grupo
0;0;252.448.306;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;1766880;0;12;0;2003;90000;1;1;0;0;2
1;0;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
2;4;6.247.772.648;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;2814940;0;7;0;2014;20000;1;1;0;0;2
3;20;0.0;0;0.0;3.962.264.150.943.390;6.037.735.849.056.600;1285274;0;12;0;2013;30000;0;0;0;0;1
4;20;4.540.878.993;20;1486.95;8.301.886.792.452.830;1.698.113.207.547.160;40779757;81459809;9;40680051;2002;75000;1;1;0;0;2
5;0;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;918476;0;12;0;2011;15000;0;0;1;0;1
6;16;0.0;0;0.0;5.849.056.603.773.580;4.150.943.396.226.410;239016696;-7540544;12;156394112;1982;30515674;0;0;1;0;1
7;4;3.501.754.325;102;208980.0;9.433.962.264.150.940;566.037.735.849.056;11958227;9357949;9;0;2000;120000;1;0;0;1;0
8;43;2.458.177.861;27;6432.0;8.867.924.528.301.880;1.132.075.471.698.110;72479551;6233236;12;-49267738;2000;1000000;1;1;0;0;2
9;24;"1,21E+11";0;22733.33;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
10;7;0.0;0;0.0;6.037.735.849.056.600;3.962.264.150.943.390;4575646;296634;6;-3299332;2011;20000;0;0;1;0;1
11;26;0.0;0;0.0;5.849.056.603.773.580;4.150.943.396.226.410;13871246;-772398;12;-9455401;2009;600000;0;0;1;0;1
12;3;0.0;0;0.0;5.094.339.622.641.500;490.566.037.735.849;0;0;1;0;2017;100000;0;0;1;0;1
13;52;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
14;4;3.145.752.451;0;0.0;7.924.528.301.886.790;2.075.471.698.113.200;36783195;-312950;12;-25744597;1990;530000;1;1;0;0;2
15;28;0.0;0;0.0;6.037.735.849.056.600;3.962.264.150.943.390;538430217;10266414;12;-346633805;1999;100000;0;0;1;0;1
16;19;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;538430217;10216020;12;-346633805;1992;2000000;0;0;1;0;1
17;2;3.078.937.009;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
18;4;0.0;0;0.0;6.981.132.075.471.690;3.018.867.924.528.300;538430217;10216020;12;-346633805;1992;2000000;0;1;0;0;2
19;5;39.411.837.590.000.000;0;0.0;8.867.924.528.301.880;1.132.075.471.698.110;57950454;18419747;12;39530707;1994;4500000;0;1;0;0;2
20;40;458.051.889;0;12882.35;5.660.377.358.490.560;4.339.622.641.509.430;2915470;1034268;12;-852138;2009;150000;1;0;1;0;1
21;60;3.757.811.558;1;2400.02;4.716.981.132.075.470;5.283.018.867.924.520;1976986;339799;12;832480;2008;50000;0;0;0;0;1
22;18;6.915;0;0.0;6.792.452.830.188.670;320.754.716.981.132;9077423;1182617;12;-6807767;2009;900000;0;0;1;0;1
23;35;3.104.742.762;25;46949.3;5.660.377.358.490.560;4.339.622.641.509.430;282662079;52217624;6;258298725;1996;96791092;0;0;1;0;1
24;6;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
25;14;2.860.282.532;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;30348455;0;12;0;2006;1000000;1;1;0;0;2
26;23;5.536.921.381.000.000;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
27;0;0.0;0;0.0;5.660.377.358.490.560;4.339.622.641.509.430;47730;0;12;0;2008;72400;0;0;1;0;1
28;4;4.412.714.583;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;23161787;5752085;12;14712042;2014;150000;1;1;0;0;2
29;11;5.357.123.203;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
30;0;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
31;9;5.932.736.371;31;5549.21;6.037.735.849.056.600;3.962.264.150.943.390;1011836;-55361;12;-645988;2003;88000;1;0;1;0;1
32;0;3.363.405.629;0;0.0;6.037.735.849.056.600;3.962.264.150.943.390;480000;0;12;0;1997;5000;1;0;1;0;1
33;807;0.0;0;0.0;3.962.264.150.943.390;6.037.735.849.056.600;0;0;1;0;1992;1400000;0;0;0;0;1
34;13;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
35;0;4.737.096.339;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
36;135;387.283.882;0;0.0;5.094.339.622.641.500;490.566.037.735.849;1421389;1387232;12;2554508;2012;100000;1;0;1;0;1
37;3;4.576.666.993;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;3359403;0;12;0;2008;78800;1;1;0;0;2
38;4;5.318.418.028.999.990;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;2316989;0;12;0;2010;99800;1;1;0;0;2
39;17;0.0;0;0.0;3.396.226.415.094.330;660.377.358.490.566;102444;0;7;0;2016;95400;0;0;0;0;1
40;3;0.0;0;0.0;8.490.566.037.735.840;150.943.396.226.415;5159452;0;6;0;1992;200000;0;1;0;0;2
41;0;43.273.421.240.000.000;0;0.0;490.566.037.735.849;5.094.339.622.641.500;172560;0;12;0;2019;5000;1;0;1;0;1
42;2;0.0;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;624350;-3319;12;-431401;2008;40000;0;1;0;0;2
43;0;3.589.796.807;0;0.0;8.301.886.792.452.830;1.698.113.207.547.160;47595914;0;12;0;2006;550000;1;1;0;0;2
44;2;0.0;0;0.0;5.094.339.622.641.500;490.566.037.735.849;756924;0;12;0;1994;30000;0;0;1;0;1
45;43;3.700.701.446;0;2480.0;6.792.452.830.188.670;320.754.716.981.132;2179468;0;12;0;2005;60000;1;0;1;0;1
46;10;3.908.721.543;0;0.0;4.528.301.886.792.450;5.471.698.113.207.540;1019546;0;12;0;2000;10000;1;0;0;0;1
47;3;43.539.221.009.999.900;0;0.0;5.094.339.622.641.500;490.566.037.735.849;311260;0;12;0;2017;10000;1;0;1;0;1
48;3;3.533.614.354;0;0.0;6.981.132.075.471.690;3.018.867.924.528.300;438103964;2916036;12;-27592668;2008;600000;1;1;0;0;2
49;0;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;0;0;1;0;2008;100000;0;0;1;0;1
50;6;3.720.908.912;0;0.0;5.283.018.867.924.520;4.716.981.132.075.470;43810396;0;12;0;2008;600000;1;0;1;0;1
51;3;4.186.828.305;0;3591.24;7.358.490.566.037.730;2.641.509.433.962.260;3101081;0;12;0;1998;60000;0;1;0;0;2
52;2;5.607.103.857;55;5400.0;6.037.735.849.056.600;3.962.264.150.943.390;6230653;0;12;0;2015;300000;1;0;1;0;1
53;18;448.130.494;21;2192.0;7.358.490.566.037.730;2.641.509.433.962.260;333210;0;1;0;2012;800000;1;1;0;0;2
54;20;0.0;0;0.0;4.528.301.886.792.450;5.471.698.113.207.540;1285274;0;12;0;2013;30000;0;0;0;0;1
55;4;4.752.585.847;0;0.0;7.735.849.056.603.770;2.264.150.943.396.220;117090514;499790;12;-7231554;2011;100000;1;1;0;0;2
56;3;4.227.695.299;12;2916.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
57;6;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;2876710;0;12;0;1999;30303;0;0;1;0;1
58;18;2.911.279.282;67;100850.04;4.716.981.132.075.470;5.283.018.867.924.520;8983936;0;12;0;2006;95400;0;0;0;0;1
59;5;429.255.171;0;0.0;6.415.094.339.622.640;3.584.905.660.377.350;2498876;0;12;0;2009;95000;1;0;1;0;1
60;18;0.0;0;0.0;4.150.943.396.226.410;5.849.056.603.773.580;10631840;0;12;0;2016;95400;0;0;0;0;1
61;23;0.0;0;0.0;5.471.698.113.207.540;4.528.301.886.792.450;0;0;1;0;2003;150000;0;0;1;0;1
62;36;5.048.304.899;48;95983.74;6.037.735.849.056.600;3.962.264.150.943.390;2920793;-171329;12;235486;2010;50000;1;0;1;0;1
63;8;2.908.974.741;0;0.0;5.094.339.622.641.500;490.566.037.735.849;0;0;1;0;2007;15000;1;0;1;0;1
64;4;5.742.936.507.999.990;105;15520.0;9.433.962.264.150.940;566.037.735.849.056;73828034;1605229;12;-43339992;2004;30000;1;0;0;1;0
65;19;4.798.450.253;41;8880.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
66;3;6.505.242.696;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;3365514;0;12;0;2000;68000;1;1;0;0;2
67;7;38.773.326.729.999.900;63;10368.0;7.169.811.320.754.710;2.830.188.679.245.280;1177807;0;12;0;2012;50000;1;1;0;0;2
68;0;4.679.269.506;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;2518727;0;9;0;2008;99800;1;0;1;0;1
69;19;0.0;0;0.0;6.792.452.830.188.670;320.754.716.981.132;1249651;302367;7;2183996;2008;100000;0;0;1;0;1
70;5;2.815.035.093;0;0.0;3.773.584.905.660.370;6.226.415.094.339.620;1185074;0;12;0;2016;88000;0;0;0;0;1
71;26;0.0;0;0.0;5.471.698.113.207.540;4.528.301.886.792.450;1700308;0;12;0;1989;5000;0;0;1;0;1
72;5;800.299.885;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
73;5;0.0;0;0.0;8.301.886.792.452.830;1.698.113.207.547.160;11235564;-405113;12;6920713;1996;2000000;0;1;0;0;2
74;16;6.387.542.857;23;7000.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
75;4;0.0;0;0.0;6.415.094.339.622.640;3.584.905.660.377.350;3302878;0;12;0;1996;60000;0;0;1;0;1
76;33;0.0;0;0.0;4.528.301.886.792.450;5.471.698.113.207.540;0;0;1;0;2006;300000;0;0;0;0;1
77;33;2.777.430.629;0;0.0;5.094.339.622.641.500;490.566.037.735.849;0;0;1;0;2012;300000;1;0;1;0;1
78;7;4.453.843.288;0;0.0;5.660.377.358.490.560;4.339.622.641.509.430;0;0;1;0;2007;100000;1;0;1;0;1
79;0;0.0;0;0.0;6.792.452.830.188.670;320.754.716.981.132;29348689;0;12;0;2018;600000;0;0;1;0;1
80;38;4.108.242.018;0;0.0;7.924.528.301.886.790;2.075.471.698.113.200;2298496;0;12;0;1991;3000;1;1;0;0;2
81;30;4.744.318.662;65;28154.4;5.471.698.113.207.540;4.528.301.886.792.450;17826063;0;12;0;1995;404000;1;0;1;0;1
82;14;3.233.516.937;49;36118.88;4.528.301.886.792.450;5.471.698.113.207.540;1746101;0;7;0;2017;100000;0;0;0;0;1
83;7;0.0;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;3926252;0;12;0;2014;245000;0;1;0;0;2
84;87;0.0;0;0.0;320.754.716.981.132;6.792.452.830.188.670;214832;0;5;0;2010;100000;0;0;0;0;1
85;3;3.243.299.545;59;8197.2;7.547.169.811.320.750;2.452.830.188.679.240;1746101;0;7;0;2005;200000;1;1;0;0;2
86;5;526.992.319;0;0.0;6.037.735.849.056.600;3.962.264.150.943.390;3809828;0;12;0;2017;20000;1;0;1;0;1
87;28;0.0;0;0.0;6.415.094.339.622.640;3.584.905.660.377.350;5368371;1346068;12;2072196;2012;500000;0;0;1;0;1
88;11;2.655.254.663;8;6400.0;6.037.735.849.056.600;3.962.264.150.943.390;455009;0;12;0;1985;70000;1;0;1;0;1
89;3;37.377.278.840.000.000;0;21416.0;9.056.603.773.584.900;943.396.226.415.094;40826415;3505804;12;26745259;2003;4500000;1;0;0;1;0
90;4;3.732.162.181;9;5666.66;8.301.886.792.452.830;1.698.113.207.547.160;35478786;0;12;0;2007;100000;1;1;0;0;2
91;7;3.063.343.254;0;0.0;5.283.018.867.924.520;4.716.981.132.075.470;4036098;729740;5;4221383;2015;210000;0;0;1;0;1
92;3;4.621.624.103;9;2100.0;6.226.415.094.339.620;3.773.584.905.660.370;591755;182859;6;14983;2015;150000;1;0;1;0;1
93;111;39.893.255.229.999.900;0;0.0;4.716.981.132.075.470;5.283.018.867.924.520;271387;0;3;0;1997;10000;1;0;0;0;1
94;64;3.667.671.775;203;259359.83;7.924.528.301.886.790;2.075.471.698.113.200;37122463;29864299;2;306505670;1992;10000000;0;1;0;0;2
95;5;0.0;0;0.0;3.962.264.150.943.390;6.037.735.849.056.600;283812;0;12;0;2018;10000;0;0;0;0;1
96;0;0.0;0;0.0;490.566.037.735.849;5.094.339.622.641.500;1071109;0;12;0;2015;50000;0;0;1;0;1
97;7;39.326.315.689.999.900;0;0.0;6.415.094.339.622.640;3.584.905.660.377.350;2569044;424623;12;-1526301;2005;200000;1;0;1;0;1
98;22;39.999.709.299.999.900;173;10212.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
99;34;24.866.747.600.000.000;253;109200.0;5.471.698.113.207.540;4.528.301.886.792.450;3220289;0;12;0;2000;300000;0;0;1;0;1
100;14;37.186.392.259.999.900;83;49782.66;7.169.811.320.754.710;2.830.188.679.245.280;5389457;0;12;0;1992;90000;0;1;0;0;2
101;29;3.969.189.612;0;28978.33;6.792.452.830.188.670;320.754.716.981.132;4354088;1907167;12;2446921;2016;100000;1;0;1;0;1
102;82;5.255.814.394;0;0.0;3.396.226.415.094.330;660.377.358.490.566;328075;0;12;0;2016;30000;0;0;0;0;1
103;4;28.139.486.620.000.000;51;54801.51;9.433.962.264.150.940;566.037.735.849.056;24551233;1077555;12;18293841;1992;1000000;1;0;0;1;0
104;15;0.0;0;0.0;490.566.037.735.849;5.094.339.622.641.500;0;0;1;0;2015;1000;0;0;1;0;1
105;7;0.0;0;0.0;3.962.264.150.943.390;6.037.735.849.056.600;0;0;1;0;2018;5000;0;0;0;0;1
106;5;2.890.631.696;0;0.0;6.415.094.339.622.640;3.584.905.660.377.350;13313452;0;12;0;1996;110000;1;0;1;0;1
107;60;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
108;24;2.646.673.902;0;0.0;4.528.301.886.792.450;5.471.698.113.207.540;3818823;181467;12;-1816507;2015;600000;0;0;0;0;1
109;17;0.0;0;0.0;5.471.698.113.207.540;4.528.301.886.792.450;745756;0;12;0;2012;40000;0;0;1;0;1
110;27;49.182.491.409.999.900;63;2836656.0;7.924.528.301.886.790;2.075.471.698.113.200;90502107;1957004;7;-65022701;2008;728407;0;1;0;0;2
111;15;4.028.954.164;52;123462.38;5.849.056.603.773.580;4.150.943.396.226.410;12255988;0;12;0;2008;35000;0;0;1;0;1
112;3;0.0;0;0.0;6.792.452.830.188.670;320.754.716.981.132;10932834;0;12;0;1985;208826;0;0;1;0;1
113;6;4.315.224.568;42;41017.32;5.660.377.358.490.560;4.339.622.641.509.430;10817059;3780585;12;-7036474;2016;850000;0;0;1;0;1
114;33;4.513.427.803;55;185191.73;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
115;10;0.0;0;0.0;6.792.452.830.188.670;320.754.716.981.132;1557540;0;12;0;2012;5000;0;0;1;0;1
116;0;5.201.378.579;28;4715.0;7.358.490.566.037.730;2.641.509.433.962.260;2443834;0;12;0;2009;100000;1;1;0;0;2
117;0;0.0;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;0;0;1;0;1962;50000;0;1;0;0;2
118;0;2.668.652.632;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;718353;0;12;0;2019;80000;1;0;1;0;1
119;2;5.614.737.621;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;3329454;0;12;0;2006;100000;1;1;0;0;2
120;0;0.0;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;3232345;0;12;0;2004;20000;0;1;0;0;2
121;19;4.798.450.253;41;8880.0;5.471.698.113.207.540;4.528.301.886.792.450;708370;0;12;0;2018;95700;1;0;1;0;1
122;33;22.319.325.269.999.900;68;66209.82;6.792.452.830.188.670;320.754.716.981.132;8622213;1295664;12;0;2003;1000000;0;0;1;0;1
123;5;44.048.957.899.999.900;100;14000.0;6.037.735.849.056.600;3.962.264.150.943.390;273629;0;12;0;2008;550000;1;0;1;0;1
124;0;0.0;0;0.0;6.792.452.830.188.670;320.754.716.981.132;3103851;279674;8;-2824177;2017;200000;0;0;1;0;1
125;3;4.533.904.213;0;0.0;6.415.094.339.622.640;3.584.905.660.377.350;1298208;0;12;0;2002;510000;1;0;1;0;1
126;4;5.074.172.903.999.990;0;0.0;5.660.377.358.490.560;4.339.622.641.509.430;1819859;-1469120;2;2592210;1996;95400;1;0;1;0;1
127;4;37.486.950.350.000.000;39;7050.0;3.773.584.905.660.370;6.226.415.094.339.620;566902;0;12;0;2017;100000;0;0;0;0;1
128;6;5.495.408.039;0;0.0;8.679.245.283.018.860;1.320.754.716.981.130;9443099;0;12;0;2007;100000;1;1;0;0;2
129;2;5.563.296.207;76;13500.0;7.358.490.566.037.730;2.641.509.433.962.260;1591910;0;7;0;1997;20000;1;1;0;0;2
130;4;47.689.952.350.000.000;0;0.0;8.490.566.037.735.840;150.943.396.226.415;6114513;0;12;0;2013;300000;1;1;0;0;2
131;0;0.0;0;0.0;7.547.169.811.320.750;2.452.830.188.679.240;6121171;0;12;0;2012;50000;0;1;0;0;2
132;0;0.0;0;0.0;660.377.358.490.566;3.396.226.415.094.330;713882;0;12;0;2013;180000;0;0;1;0;1
133;0;38.591.775.780.000.000;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;572776;0;12;0;2014;80000;1;1;0;0;2
134;12;5.897.155.712;0;0.0;6.792.452.830.188.670;320.754.716.981.132;3410099;0;12;0;1986;110000;1;0;1;0;1
135;0;0.0;0;0.0;8.301.886.792.452.830;1.698.113.207.547.160;2056885;0;12;0;1997;10000;0;1;0;0;2
136;15;2.990.548.484;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
137;7;0.0;0;0.0;3.962.264.150.943.390;6.037.735.849.056.600;0;0;1;0;2018;10000;0;0;0;0;1
138;23;5.536.921.381.000.000;0;0.0;7.735.849.056.603.770;2.264.150.943.396.220;8689787;0;12;0;1991;1200000;1;1;0;0;2
139;4;5.173.010.369;0;12825.0;8.301.886.792.452.830;1.698.113.207.547.160;0;0;8;0;1995;5993340;1;1;0;0;2
140;3;3.533.614.354;0;0.0;6.981.132.075.471.690;3.018.867.924.528.300;40775376;1132878;10;0;2008;600000;1;1;0;0;2
141;93;5.669.856.041;0;0.0;4.339.622.641.509.430;5.660.377.358.490.560;1086360;0;12;0;2010;10000;1;0;0;0;1
142;3;4.807.638.686;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;3598601;0;12;0;2005;95400;1;1;0;0;2
143;30;316.048.996;32;8300.0;7.169.811.320.754.710;2.830.188.679.245.280;1023736;255830;8;541342;2017;100000;1;1;0;0;2
144;48;39.827.660.579.999.900;64;14901.07;6.415.094.339.622.640;3.584.905.660.377.350;4636079;0;12;0;2006;200000;0;0;1;0;1
145;0;5.304.287.158;0;0.0;9.622.641.509.433.960;377.358.490.566.037;10087739;885300;12;9359816;1971;648000;1;0;0;1;0
146;27;37.702.363.409.999.900;67;387169.99;4.528.301.886.792.450;5.471.698.113.207.540;27087480;3872376;12;19867576;2017;390000;1;0;0;0;1
147;4;4.145.521.471;0;0.0;4.716.981.132.075.470;5.283.018.867.924.520;926159;0;12;0;2011;50000;0;0;0;0;1
148;12;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;668124;0;12;0;2013;1000;0;0;1;0;1
149;18;0.0;0;0.0;6.792.452.830.188.670;320.754.716.981.132;13144861;71893260;12;5955535;2010;100000;0;0;1;0;1
150;15;0.0;0;0.0;5.849.056.603.773.580;4.150.943.396.226.410;1575261;0;12;0;2010;80000;0;0;1;0;1
151;5;2.135.674.693;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;1952436;0;8;0;2009;150000;1;1;0;0;2
152;3;3.044.278.231;17;2968.0;6.226.415.094.339.620;3.773.584.905.660.370;775287;-89866;12;518962;2007;150000;1;0;1;0;1
153;35;0.0;0;0.0;660.377.358.490.566;3.396.226.415.094.330;4793211;0;12;0;2008;200000;0;0;1;0;1
154;87;0.0;0;0.0;4.150.943.396.226.410;5.849.056.603.773.580;537497;0;12;0;2010;100000;0;0;0;0;1
155;5;5.440.276.558;8;4800.0;490.566.037.735.849;5.094.339.622.641.500;1714093;0;12;0;2018;30000;1;0;1;0;1
156;0;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;289852;0;12;0;2012;190000;0;0;1;0;1
157;16;18.196.601.769.999.900;34;7991.36;660.377.358.490.566;3.396.226.415.094.330;266200496;0;12;0;1989;1000000;1;0;1;0;1
158;0;0.0;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;2444556;0;12;0;2016;100000;0;0;1;0;1
159;0;0.0;0;0.0;5.094.339.622.641.500;490.566.037.735.849;1;0;1;0;2016;100000;0;0;1;0;1
160;33;4.513.427.803;55;185191.73;7.358.490.566.037.730;2.641.509.433.962.260;37184335;36941068;12;36941068;2000;1002000;0;1;0;0;2
161;4;5.446.530.761;18;31966.66;9.056.603.773.584.900;943.396.226.415.094;3652617;907622;12;1712437;2000;1002000;1;0;0;1;0
162;5;4.123.162.857;0;20797.0;6.792.452.830.188.670;320.754.716.981.132;1668975;0;12;0;2018;100000;1;0;1;0;1
163;2;4.491.461.276;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;806204;0;12;0;2005;1500000;1;0;1;0;1
164;11;2.777.570.091;33;88113.6;6.792.452.830.188.670;320.754.716.981.132;9228155;180886;10;7706323;2004;500000;0;0;1;0;1
165;8;3.897.275.988;41;20966.63;7.169.811.320.754.710;2.830.188.679.245.280;3589031;1391521;12;2197510;2011;300000;1;1;0;0;2
166;62;48.755.078.119.999.900;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
167;3;4.389.350.443;0;42879.29;9.433.962.264.150.940;566.037.735.849.056;61496930;14216920;12;47280010;1993;100000;1;0;0;1;0
168;4;41.942.418.369.999.900;40;45105.8;8.867.924.528.301.880;1.132.075.471.698.110;67986852;19150205;10;-48836647;2003;3000000;1;1;0;0;2
169;3;431.734.172;19;53751.0;7.358.490.566.037.730;2.641.509.433.962.260;472939365;0;12;0;2012;100000;1;1;0;0;2
170;3;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
171;0;3.866.329.387;0;22692.0;7.547.169.811.320.750;2.452.830.188.679.240;111045978;0;12;0;2004;400000;1;1;0;0;2
172;9;6.533.681.481;723;513580.14;6.037.735.849.056.600;3.962.264.150.943.390;45143557;11108232;12;27454494;2015;99800;0;0;1;0;1
173;4;0.0;0;0.0;5.471.698.113.207.540;4.528.301.886.792.450;1501183;0;12;0;2018;80000;0;0;1;0;1
174;81;3.553.814.561;35;23641.01;7.735.849.056.603.770;2.264.150.943.396.220;3715209;3375686;12;339523;2011;99800;1;1;0;0;2
175;12;0.0;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;0;0;0;1;0
176;2;0.0;0;0.0;7.169.811.320.754.710;2.830.188.679.245.280;2725085;0;12;0;2003;88000;0;1;0;0;2
177;2;0.0;0;0.0;8.301.886.792.452.830;1.698.113.207.547.160;52730621;0;12;0;2014;2100000;0;1;0;0;2
178;3;2.724.753;0;0.0;6.226.415.094.339.620;3.773.584.905.660.370;0;0;12;0;2013;15000;1;0;1;0;1
179;0;36.902.845.240.000.000;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;3593550;714483;12;2879067;2015;78800;1;1;0;0;2
180;6;3.587.808.464;44;26469.66;7.169.811.320.754.710;2.830.188.679.245.280;3538420;0;12;0;2011;175000;1;1;0;0;2
181;690;42.106.536.840.000.000;40;98698.7;7.924.528.301.886.790;2.075.471.698.113.200;20254913;7983449;10;12271464;1985;1300000;0;1;0;0;2
182;9;4.436.293.532;63;335597.76;8.867.924.528.301.880;1.132.075.471.698.110;31824213;14022530;10;17801683;1998;250000;1;1;0;0;2
183;0;0.0;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;157553;0;1;0;2010;88000;0;1;0;0;2
184;6;49.618.682.770.000.000;11;9670.35;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
185;3;4.893.561.979;11;8182.5;8.301.886.792.452.830;1.698.113.207.547.160;4117785;0;12;0;2012;50000;1;1;0;0;2
186;110;0.0;0;0.0;3.396.226.415.094.330;660.377.358.490.566;608649;0;12;0;2014;20000;0;0;0;0;1
187;2;0.0;0;0.0;5.094.339.622.641.500;490.566.037.735.849;192417;0;5;0;2010;10000;0;0;1;0;1
188;4;0.0;0;0.0;5.471.698.113.207.540;4.528.301.886.792.450;2416870;0;12;0;2016;550000;0;0;1;0;1
189;0;4.413.395.729;0;0.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
190;39;2.604.190.589;0;0.0;5.660.377.358.490.560;4.339.622.641.509.430;20381441;0;12;0;2002;400000;0;0;1;0;1
191;153;0.0;0;0.0;8.490.566.037.735.840;150.943.396.226.415;3399365;1613686;12;1785679;2012;50000;0;1;0;0;2
192;4;5.074.172.903.999.990;0;0.0;5.660.377.358.490.560;4.339.622.641.509.430;1819859;558278;12;1261581;1996;95400;1;0;1;0;1
193;0;0.0;0;0.0;8.301.886.792.452.830;1.698.113.207.547.160;3874929;1509631;12;2365298;2004;93700;0;1;0;0;2
194;17;5.265.257.649;0;0.0;5.471.698.113.207.540;4.528.301.886.792.450;3354956;0;12;0;2012;350000;1;0;1;0;1
195;45;4.006.444.775;30;78751.34;660.377.358.490.566;3.396.226.415.094.330;5010416;0;12;0;1992;100000;1;0;1;0;1
196;8;26.333.941.559.999.900;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;9716058;26672760;12;7048782;2005;400000;1;1;0;0;2
197;25;37.167.603.340.000.000;63;176480.0;5.283.018.867.924.520;4.716.981.132.075.470;4926937;1983609;12;2943328;2008;100000;1;0;1;0;1
198;6;5.578.428.231;10;73970.0;5.094.339.622.641.500;490.566.037.735.849;5201591;0;12;0;2017;100000;1;0;1;0;1
199;22;4.217.446.292;20;3498.66;3.962.264.150.943.390;6.037.735.849.056.600;1226031;0;12;0;1987;100000;0;0;0;0;1
200;3;261.576.307;0;0.0;6.037.735.849.056.600;3.962.264.150.943.390;1372450;0;12;0;2011;20000;1;0;1;0;1
201;259;5.213.125.099;36;41582.3;6.792.452.830.188.670;320.754.716.981.132;3470727;2013505;12;1457222;1982;300000;0;0;1;0;1
202;3;4.025.694.218;0;0.0;7.358.490.566.037.730;2.641.509.433.962.260;8486361;0;12;0;1999;55000;1;1;0;0;2
203;3;0.0;0;0.0;7.924.528.301.886.790;2.075.471.698.113.200;281864166;106702039;12;175162127;2015;28000;0;1;0;0;2
204;3;3.224.337.626;26;2972.38;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
205;4;2.773.767.089;0;0.0;8.301.886.792.452.830;1.698.113.207.547.160;2800188;1550869;12;1249319;2010;100000;1;1;0;0;2
206;15;0.0;0;0.0;5.849.056.603.773.580;4.150.943.396.226.410;1575261;0;12;0;2010;80000;0;0;1;0;1
207;11;2.655.254.663;8;6400.0;6.037.735.849.056.600;3.962.264.150.943.390;455009;0;12;0;1985;70000;1;0;1;0;1
