indice;maior_atraso ;margem_bruta_acumulada;prazo_medio_recebimento_vendas;titulos_em_aberto;diferenca_percentual_risco;percentualRisco;faturamento_bruto;margem_bruta;periodo_demonstrativo_em_meses;custos;ano_fundacao;capital_social;score_pontualidade;risco_baixo;risco_medio;risco_muito_baixo;grupo
2528;0;3.767.650.865;0;0.0;6.785.714.285.714.280;3.214.285.714.285.710;107547;0;12;0;2007;20000;1;0;1;0;1
2529;91;0.0;0;0.0;9.107.142.857.142.850;892.857.142.857.142;31707660;8360944;12;23346716;1994;1000000;0;0;0;1;0
2530;0;3.245.100.455;27;2963.17;6.428.571.428.571.420;3.571.428.571.428.570;5136984;0;12;0;2018;180000;1;0;1;0;1
2531;22;3.769.695.607;47;5749.25;6.607.142.857.142.850;3.392.857.142.857.140;2866733;0;12;0;1999;100000;1;0;1;0;1
2532;4;46.733.657.289.999.900;52;351900.0;0.75;0.25;4378447;3184207;12;1194240;2010;200000;1;1;0;0;2
2533;0;3.032.842.865;0;0.0;8.571.428.571.428.570;1.428.571.428.571.420;3714482;0;12;0;2002;80000;1;1;0;0;2
2534;46;3.249.691.358;0;0.0;7.499.999.999.999.990;0.25;2057367;0;12;0;1998;120000;0;1;0;0;2
2535;4;3.960.572.898;0;0.0;0.75;0.25;4300009;0;12;0;2009;200000;1;1;0;0;2
2536;99;3.963.797.644;0;0.0;4.464.285.714.285.710;5.535.714.285.714.280;820872;0;12;0;2014;160000;0;0;0;0;1
2537;18;5.903.563.505;0;0.0;6.607.142.857.142.850;3.392.857.142.857.140;834481;0;5;0;2017;800000;1;0;1;0;1
2538;3;44.441.049.520.000.000;2;3310.89;5.892.857.142.857.140;4.107.142.857.142.850;8930896;3004491;12;5926405;2017;300000;1;0;1;0;1
2539;102;3.880.913.642;0;0.0;4.464.285.714.285.710;5.535.714.285.714.280;1406604;0;12;0;2012;10000;0;0;0;0;1
2540;0;7.342.713.601;0;0.0;6.428.571.428.571.420;3.571.428.571.428.570;0;0;1;0;2018;246805647;1;0;1;0;1
2541;29;6.369.500.221;0;0.0;4.821.428.571.428.570;5.178.571.428.571.420;0;0;1;0;2018;40000;1;0;0;0;1
2542;3;5.376.810.295.000.000;68;31059.15;9.642.857.142.857.140;357.142.857.142.857;17591660;6299783;8;11291877;2014;1000000;1;0;0;1;0
2543;2;5.753.678.955;81;39595.25;8.035.714.285.714.280;1.964.285.714.285.710;143937778;38118480;12;105819298;2018;189000;1;1;0;0;2
2544;33;2.816.932.593;6;14680.0;8.035.714.285.714.280;1.964.285.714.285.710;8822886;2827645;12;5995241;1993;100000;0;1;0;0;2
2545;18;47.991.596.579.999.900;0;0.0;6.428.571.428.571.420;3.571.428.571.428.570;3640032;1666129;12;1973903;2003;100000;0;0;1;0;1
2546;5;23.649.037.039.999.900;54;33750.0;6.964.285.714.285.710;3.035.714.285.714.280;1811484;964080;12;847404;2017;100000;1;1;0;0;2
2547;87;0.0;0;0.0;6.964.285.714.285.710;3.035.714.285.714.280;4256692;0;12;0;2010;100000;0;1;0;0;2
2548;0;5.974.924.851;58;12453.57;7.142.857.142.857.140;2.857.142.857.142.850;973841;769537;12;204304;2018;400000;1;1;0;0;2
2549;21;0.0;0;0.0;5.892.857.142.857.140;4.107.142.857.142.850;2296739;0;12;0;1975;100000;0;0;1;0;1
2550;35;5.845.285.889;0;164500.0;1.0;0.0;0;16209878;10;28390609;2006;11214526;1;0;0;1;0
2551;5;3.948.846.371;0;0.0;8.571.428.571.428.570;1.428.571.428.571.420;8384791;4609117;12;3775674;2006;200000;1;1;0;0;2
2552;91;0.0;0;0.0;9.107.142.857.142.850;892.857.142.857.142;31707660;8360944;12;23346716;1994;1000000;0;0;0;1;0
2553;6;287.824.889;0;0.0;6.071.428.571.428.570;3.928.571.428.571.420;582951;0;12;0;2017;100000;1;0;1;0;1
2554;6;5.139.604.305;0;0.0;7.678.571.428.571.420;2.321.428.571.428.570;0;0;1;0;2000;120000;0;1;0;0;2
2555;33;34.161.021.630.000.000;0;533.34;7.142.857.142.857.140;2.857.142.857.142.850;227917;61343;12;166574;2011;50000;0;1;0;0;2
2556;62;356.487.366;11;3960.0;0.75;0.25;10598406;5867006;12;4731400;2009;150000;1;1;0;0;2
2557;6;287.824.889;0;0.0;6.071.428.571.428.570;3.928.571.428.571.420;582951;0;12;0;2017;100000;1;0;1;0;1
2558;92;0.0;0;0.0;5.892.857.142.857.140;4.107.142.857.142.850;0;16209878;10;28390609;2017;100000;0;0;1;0;1
2559;79;37.935.221.280.000.000;0;1000.0;7.142.857.142.857.140;2.857.142.857.142.850;1563538;569932;12;993606;2003;200000;0;1;0;0;2
2560;0;0.0;0;0.0;8.392.857.142.857.140;1.607.142.857.142.850;917281;521207;12;396074;2011;100000;0;1;0;0;2
2561;14;3.233.516.937;49;36118.88;4.464.285.714.285.710;5.535.714.285.714.280;1693866;0;12;0;2017;100000;0;0;0;0;1
2562;99;0.0;0;0.0;8.928.571.428.571.420;1.071.428.571.428.570;32045758;12464687;12;19581071;2002;800000;0;0;0;1;0
2563;25;5.137.842.150.999.990;2;16651.38;8.035.714.285.714.280;1.964.285.714.285.710;32487178;0;12;0;1998;421330;1;1;0;0;2
2564;17;0.0;0;0.0;6.964.285.714.285.710;3.035.714.285.714.280;109615316;35964465;12;73650851;2015;3000000;0;1;0;0;2
2565;36;4.250.424.607;0;0.0;8.214.285.714.285.710;1.785.714.285.714.280;3448717;3291530;12;157187;2006;100000;1;1;0;0;2
2566;22;5.539.163.883;0;0.0;7.857.142.857.142.850;2.142.857.142.857.140;52943380;0;12;0;2002;300000;1;1;0;0;2
2567;0;2.623.429.156;0;0.0;7.321.428.571.428.570;2.678.571.428.571.420;3018233;0;12;0;2005;110000;1;1;0;0;2
2568;5;0.0;0;0.0;8.035.714.285.714.280;1.964.285.714.285.710;3721946;0;12;0;2015;20000;0;1;0;0;2
2569;4;5.079.147.588;0;0.0;0.75;0.25;0;0;1;0;1981;8000;1;1;0;0;2
2570;92;0.0;0;0.0;5.892.857.142.857.140;4.107.142.857.142.850;3539940;924343;3;2615597;2017;100000;0;0;1;0;1
2571;6;47.769.577.700.000.000;41;5057.4;0.75;2.499.999.999.999.990;1392480;490089;12;902391;2006;15000;1;1;0;0;2
2572;411;2.932.141.791;47;44094.17;8.928.571.428.571.420;1.071.428.571.428.570;9432304;3202198;12;6230106;1984;500000;0;0;0;1;0
2573;20;3.449.512.626;0;0.0;4.821.428.571.428.570;5.178.571.428.571.420;292105;0;12;0;2015;10000;1;0;0;0;1
2574;5;3.882.930.074;0;0.0;5.357.142.857.142.850;4.642.857.142.857.140;1591463;0;12;0;2017;95000;1;0;1;0;1
2575;4;5.579.184.862;22;4580.0;6.785.714.285.714.280;3.214.285.714.285.710;790424;131484;12;658940;1998;2985000;1;0;1;0;1
2576;28;5.420.715.764;0;0.0;6.964.285.714.285.710;3.035.714.285.714.280;105029;0;12;0;2014;60000;1;1;0;0;2
2577;33;0.0;0;0.0;8.035.714.285.714.280;1.964.285.714.285.710;1840778;703752;12;1137026;2012;1000000;0;1;0;0;2
2578;337;4.105.088.875;0;0.0;8.035.714.285.714.280;1.964.285.714.285.710;3047968;0;12;0;1988;200000;1;1;0;0;2
2579;63;5.350.265.072;37;24315.0;6.964.285.714.285.710;3.035.714.285.714.280;1837367;657225;12;1180142;2008;400000;0;1;0;0;2
2580;3;0.0;0;0.0;8.571.428.571.428.570;1.428.571.428.571.420;3064748;0;12;0;2009;20000;0;1;0;0;2
2581;143;3.146.734.694;0;0.0;3.392.857.142.857.140;6.607.142.857.142.850;108336;0;12;0;2015;85000;0;0;0;0;1
2582;24;4.328.727.165;15;49972.04;9.107.142.857.142.850;892.857.142.857.142;10354594;7029899;12;3324695;2012;600000;0;0;0;1;0
2583;6;3.179.461.769;46;12820.66;8.035.714.285.714.280;1.964.285.714.285.710;3051901;739982;12;2311919;2016;30000;0;1;0;0;2
2584;0;4.501.955.836;0;0.0;0.75;0.25;0;0;1;0;1997;1000000;1;1;0;0;2
2585;43;0.0;0;0.0;8.035.714.285.714.280;1.964.285.714.285.710;49277658;0;12;0;1998;10000;0;1;0;0;2
2586;4;5.552.716.108;0;0.0;6.428.571.428.571.420;3.571.428.571.428.570;1221995;0;12;0;2013;30000;1;0;1;0;1
2587;74;5.140.115.049;0;0.0;6.607.142.857.142.850;3.392.857.142.857.140;0;0;1;0;2012;40000;1;0;1;0;1
2588;5;0.0;0;0.0;9.107.142.857.142.850;892.857.142.857.142;11831372;4290932;12;7540440;1996;2000000;0;0;0;1;0
